GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US27006,27006,ZCTA5 27006,14136,883
8600000US27007,27007,ZCTA5 27007,2195,284
8600000US27009,27009,ZCTA5 27009,2402,381
8600000US27011,27011,ZCTA5 27011,5745,606
8600000US27012,27012,ZCTA5 27012,25699,868
8600000US27013,27013,ZCTA5 27013,6086,615
8600000US27014,27014,ZCTA5 27014,750,176
8600000US27016,27016,ZCTA5 27016,1747,330
8600000US27017,27017,ZCTA5 27017,9399,641
8600000US27018,27018,ZCTA5 27018,7438,629
8600000US27019,27019,ZCTA5 27019,4069,608
8600000US27020,27020,ZCTA5 27020,5766,777
8600000US27021,27021,ZCTA5 27021,17312,731
8600000US27022,27022,ZCTA5 27022,1524,302
8600000US27023,27023,ZCTA5 27023,12630,535
8600000US27024,27024,ZCTA5 27024,2773,510
8600000US27025,27025,ZCTA5 27025,11226,862
8600000US27027,27027,ZCTA5 27027,4433,423
8600000US27028,27028,ZCTA5 27028,26050,967
8600000US27030,27030,ZCTA5 27030,37517,937
8600000US27040,27040,ZCTA5 27040,11049,535
8600000US27041,27041,ZCTA5 27041,8329,585
8600000US27042,27042,ZCTA5 27042,618,248
8600000US27043,27043,ZCTA5 27043,6754,585
8600000US27045,27045,ZCTA5 27045,8558,554
8600000US27046,27046,ZCTA5 27046,2249,419
8600000US27047,27047,ZCTA5 27047,875,223
8600000US27048,27048,ZCTA5 27048,9003,557
8600000US27050,27050,ZCTA5 27050,4225,572
8600000US27051,27051,ZCTA5 27051,8380,550
8600000US27052,27052,ZCTA5 27052,10441,746
8600000US27053,27053,ZCTA5 27053,2879,399
8600000US27054,27054,ZCTA5 27054,2066,475
8600000US27055,27055,ZCTA5 27055,14081,807
8600000US27101,27101,ZCTA5 27101,18641,880
8600000US27103,27103,ZCTA5 27103,37201,1653
8600000US27104,27104,ZCTA5 27104,28507,1012
8600000US27105,27105,ZCTA5 27105,41083,1572
8600000US27106,27106,ZCTA5 27106,46876,1426
8600000US27107,27107,ZCTA5 27107,46499,1435
8600000US27109,27109,ZCTA5 27109,2435,254
8600000US27110,27110,ZCTA5 27110,2020,235
8600000US27127,27127,ZCTA5 27127,37298,1483
8600000US27201,27201,ZCTA5 27201,61,44
8600000US27203,27203,ZCTA5 27203,21602,1081
8600000US27205,27205,ZCTA5 27205,34654,1328
8600000US27207,27207,ZCTA5 27207,3519,575
8600000US27208,27208,ZCTA5 27208,1827,396
8600000US27209,27209,ZCTA5 27209,3905,636
8600000US27212,27212,ZCTA5 27212,1957,344
8600000US27214,27214,ZCTA5 27214,11583,1173
8600000US27215,27215,ZCTA5 27215,40467,1449
8600000US27217,27217,ZCTA5 27217,36307,1286
8600000US27229,27229,ZCTA5 27229,3948,678
8600000US27231,27231,ZCTA5 27231,1679,265
8600000US27233,27233,ZCTA5 27233,2984,485
8600000US27235,27235,ZCTA5 27235,4024,437
8600000US27239,27239,ZCTA5 27239,8391,874
8600000US27242,27242,ZCTA5 27242,1732,632
8600000US27243,27243,ZCTA5 27243,4484,561
8600000US27244,27244,ZCTA5 27244,14168,734
8600000US27248,27248,ZCTA5 27248,4483,632
8600000US27249,27249,ZCTA5 27249,13047,798
8600000US27252,27252,ZCTA5 27252,2712,439
8600000US27253,27253,ZCTA5 27253,29416,821
8600000US27258,27258,ZCTA5 27258,6692,783
8600000US27260,27260,ZCTA5 27260,24194,928
8600000US27262,27262,ZCTA5 27262,23766,1326
8600000US27263,27263,ZCTA5 27263,22394,767
8600000US27265,27265,ZCTA5 27265,49024,1360
8600000US27278,27278,ZCTA5 27278,25112,1034
8600000US27281,27281,ZCTA5 27281,3171,512
8600000US27282,27282,ZCTA5 27282,17168,943
8600000US27283,27283,ZCTA5 27283,2782,285
8600000US27284,27284,ZCTA5 27284,50981,909
8600000US27288,27288,ZCTA5 27288,23329,765
8600000US27291,27291,ZCTA5 27291,1389,340
8600000US27292,27292,ZCTA5 27292,39486,1381
8600000US27295,27295,ZCTA5 27295,38622,1421
8600000US27298,27298,ZCTA5 27298,9467,747
8600000US27299,27299,ZCTA5 27299,5320,851
8600000US27301,27301,ZCTA5 27301,8625,1048
8600000US27302,27302,ZCTA5 27302,28686,996
8600000US27305,27305,ZCTA5 27305,1982,354
8600000US27306,27306,ZCTA5 27306,6034,612
8600000US27310,27310,ZCTA5 27310,7099,458
8600000US27311,27311,ZCTA5 27311,3638,554
8600000US27312,27312,ZCTA5 27312,19179,892
8600000US27313,27313,ZCTA5 27313,7291,567
8600000US27314,27314,ZCTA5 27314,1396,366
8600000US27315,27315,ZCTA5 27315,2108,357
8600000US27316,27316,ZCTA5 27316,7094,826
8600000US27317,27317,ZCTA5 27317,16134,924
8600000US27320,27320,ZCTA5 27320,38727,946
8600000US27325,27325,ZCTA5 27325,6117,749
8600000US27326,27326,ZCTA5 27326,3012,425
8600000US27330,27330,ZCTA5 27330,39401,1063
8600000US27332,27332,ZCTA5 27332,30344,1483
8600000US27340,27340,ZCTA5 27340,68,51
8600000US27341,27341,ZCTA5 27341,6287,778
8600000US27343,27343,ZCTA5 27343,1635,504
8600000US27344,27344,ZCTA5 27344,18546,884
8600000US27349,27349,ZCTA5 27349,6227,708
8600000US27350,27350,ZCTA5 27350,6334,813
8600000US27355,27355,ZCTA5 27355,2678,536
8600000US27356,27356,ZCTA5 27356,3384,489
8600000US27357,27357,ZCTA5 27357,7410,572
8600000US27358,27358,ZCTA5 27358,15075,910
8600000US27360,27360,ZCTA5 27360,46623,990
8600000US27370,27370,ZCTA5 27370,14185,979
8600000US27371,27371,ZCTA5 27371,8902,707
8600000US27376,27376,ZCTA5 27376,9108,903
8600000US27377,27377,ZCTA5 27377,7752,936
8600000US27379,27379,ZCTA5 27379,5566,548
8600000US27401,27401,ZCTA5 27401,21227,1120
8600000US27403,27403,ZCTA5 27403,21711,988
8600000US27405,27405,ZCTA5 27405,46326,1835
8600000US27406,27406,ZCTA5 27406,58381,1749
8600000US27407,27407,ZCTA5 27407,50279,1678
8600000US27408,27408,ZCTA5 27408,18059,763
8600000US27409,27409,ZCTA5 27409,16902,1290
8600000US27410,27410,ZCTA5 27410,54195,1384
8600000US27455,27455,ZCTA5 27455,29398,1235
8600000US27501,27501,ZCTA5 27501,19201,1274
8600000US27502,27502,ZCTA5 27502,34428,843
8600000US27503,27503,ZCTA5 27503,6244,426
8600000US27504,27504,ZCTA5 27504,15074,1403
8600000US27505,27505,ZCTA5 27505,5980,609
8600000US27507,27507,ZCTA5 27507,1348,327
8600000US27508,27508,ZCTA5 27508,1658,283
8600000US27509,27509,ZCTA5 27509,6095,535
8600000US27510,27510,ZCTA5 27510,15168,489
8600000US27511,27511,ZCTA5 27511,34393,947
8600000US27513,27513,ZCTA5 27513,42637,1098
8600000US27514,27514,ZCTA5 27514,32446,965
8600000US27516,27516,ZCTA5 27516,39231,1266
8600000US27517,27517,ZCTA5 27517,23613,832
8600000US27518,27518,ZCTA5 27518,20923,753
8600000US27519,27519,ZCTA5 27519,47083,1203
8600000US27520,27520,ZCTA5 27520,39363,1828
8600000US27521,27521,ZCTA5 27521,6620,737
8600000US27522,27522,ZCTA5 27522,11520,817
8600000US27523,27523,ZCTA5 27523,11578,1073
8600000US27524,27524,ZCTA5 27524,12489,928
8600000US27525,27525,ZCTA5 27525,14184,1002
8600000US27526,27526,ZCTA5 27526,44119,1431
8600000US27527,27527,ZCTA5 27527,19510,1654
8600000US27529,27529,ZCTA5 27529,45519,1779
8600000US27530,27530,ZCTA5 27530,39504,1452
8600000US27531,27531,ZCTA5 27531,466,146
8600000US27534,27534,ZCTA5 27534,32948,1376
8600000US27536,27536,ZCTA5 27536,16160,635
8600000US27537,27537,ZCTA5 27537,25678,982
8600000US27539,27539,ZCTA5 27539,22099,1287
8600000US27540,27540,ZCTA5 27540,33221,827
8600000US27541,27541,ZCTA5 27541,3931,452
8600000US27542,27542,ZCTA5 27542,8497,865
8600000US27544,27544,ZCTA5 27544,4684,640
8600000US27545,27545,ZCTA5 27545,25596,1075
8600000US27546,27546,ZCTA5 27546,20144,1049
8600000US27549,27549,ZCTA5 27549,24741,1322
8600000US27551,27551,ZCTA5 27551,2067,355
8600000US27553,27553,ZCTA5 27553,1950,345
8600000US27555,27555,ZCTA5 27555,603,193
8600000US27556,27556,ZCTA5 27556,239,142
8600000US27557,27557,ZCTA5 27557,6284,941
8600000US27559,27559,ZCTA5 27559,2341,483
8600000US27560,27560,ZCTA5 27560,26187,793
8600000US27562,27562,ZCTA5 27562,1565,322
8600000US27563,27563,ZCTA5 27563,5270,502
8600000US27565,27565,ZCTA5 27565,25210,957
8600000US27568,27568,ZCTA5 27568,633,184
8600000US27569,27569,ZCTA5 27569,7701,739
8600000US27571,27571,ZCTA5 27571,5186,155
8600000US27572,27572,ZCTA5 27572,7357,780
8600000US27573,27573,ZCTA5 27573,11155,544
8600000US27574,27574,ZCTA5 27574,14742,964
8600000US27576,27576,ZCTA5 27576,17111,1137
8600000US27577,27577,ZCTA5 27577,24671,1271
8600000US27581,27581,ZCTA5 27581,4899,605
8600000US27582,27582,ZCTA5 27582,162,59
8600000US27583,27583,ZCTA5 27583,6296,701
8600000US27587,27587,ZCTA5 27587,59691,1496
8600000US27589,27589,ZCTA5 27589,8189,654
8600000US27591,27591,ZCTA5 27591,20229,1395
8600000US27592,27592,ZCTA5 27592,15882,1420
8600000US27596,27596,ZCTA5 27596,17056,1278
8600000US27597,27597,ZCTA5 27597,23496,1474
8600000US27601,27601,ZCTA5 27601,9975,1001
8600000US27603,27603,ZCTA5 27603,50319,2034
8600000US27604,27604,ZCTA5 27604,43667,1711
8600000US27605,27605,ZCTA5 27605,4544,453
8600000US27606,27606,ZCTA5 27606,44805,1430
8600000US27607,27607,ZCTA5 27607,28571,1117
8600000US27608,27608,ZCTA5 27608,11062,529
8600000US27609,27609,ZCTA5 27609,32884,1696
8600000US27610,27610,ZCTA5 27610,73830,2189
8600000US27612,27612,ZCTA5 27612,36245,1448
8600000US27613,27613,ZCTA5 27613,43845,1062
8600000US27614,27614,ZCTA5 27614,32948,1314
8600000US27615,27615,ZCTA5 27615,42421,1025
8600000US27616,27616,ZCTA5 27616,48004,1594
8600000US27617,27617,ZCTA5 27617,16503,930
8600000US27701,27701,ZCTA5 27701,21760,926
8600000US27703,27703,ZCTA5 27703,47697,1894
8600000US27704,27704,ZCTA5 27704,36509,1358
8600000US27705,27705,ZCTA5 27705,47942,1558
8600000US27707,27707,ZCTA5 27707,48731,1456
8600000US27709,27709,ZCTA5 27709,909,321
8600000US27712,27712,ZCTA5 27712,20710,898
8600000US27713,27713,ZCTA5 27713,50295,1451
8600000US27801,27801,ZCTA5 27801,21095,588
8600000US27803,27803,ZCTA5 27803,19556,905
8600000US27804,27804,ZCTA5 27804,29381,1013
8600000US27805,27805,ZCTA5 27805,3816,603
8600000US27806,27806,ZCTA5 27806,2428,380
8600000US27807,27807,ZCTA5 27807,6701,545
8600000US27808,27808,ZCTA5 27808,2079,337
8600000US27809,27809,ZCTA5 27809,4801,624
8600000US27810,27810,ZCTA5 27810,4338,632
8600000US27812,27812,ZCTA5 27812,2942,479
8600000US27813,27813,ZCTA5 27813,664,184
8600000US27814,27814,ZCTA5 27814,1728,306
8600000US27816,27816,ZCTA5 27816,2471,519
8600000US27817,27817,ZCTA5 27817,6851,599
8600000US27818,27818,ZCTA5 27818,1485,286
8600000US27819,27819,ZCTA5 27819,352,112
8600000US27820,27820,ZCTA5 27820,2797,434
8600000US27821,27821,ZCTA5 27821,229,122
8600000US27822,27822,ZCTA5 27822,7984,588
8600000US27823,27823,ZCTA5 27823,7778,547
8600000US27824,27824,ZCTA5 27824,2147,494
8600000US27825,27825,ZCTA5 27825,62,33
8600000US27826,27826,ZCTA5 27826,1308,375
8600000US27827,27827,ZCTA5 27827,41,24
8600000US27828,27828,ZCTA5 27828,8123,596
8600000US27829,27829,ZCTA5 27829,1876,291
8600000US27830,27830,ZCTA5 27830,4808,592
8600000US27831,27831,ZCTA5 27831,3533,506
8600000US27832,27832,ZCTA5 27832,2849,439
8600000US27834,27834,ZCTA5 27834,54990,1836
8600000US27837,27837,ZCTA5 27837,6602,997
8600000US27839,27839,ZCTA5 27839,3793,405
8600000US27840,27840,ZCTA5 27840,485,125
8600000US27841,27841,ZCTA5 27841,38,26
8600000US27842,27842,ZCTA5 27842,1421,176
8600000US27843,27843,ZCTA5 27843,1486,314
8600000US27844,27844,ZCTA5 27844,3110,236
8600000US27845,27845,ZCTA5 27845,2811,452
8600000US27846,27846,ZCTA5 27846,3460,504
8600000US27847,27847,ZCTA5 27847,857,279
8600000US27849,27849,ZCTA5 27849,1492,437
8600000US27850,27850,ZCTA5 27850,6911,525
8600000US27851,27851,ZCTA5 27851,5330,475
8600000US27852,27852,ZCTA5 27852,3191,406
8600000US27853,27853,ZCTA5 27853,452,248
8600000US27855,27855,ZCTA5 27855,5880,450
8600000US27856,27856,ZCTA5 27856,16781,1047
8600000US27857,27857,ZCTA5 27857,1328,262
8600000US27858,27858,ZCTA5 27858,58779,1695
8600000US27860,27860,ZCTA5 27860,2441,623
8600000US27861,27861,ZCTA5 27861,87,46
8600000US27862,27862,ZCTA5 27862,635,171
8600000US27863,27863,ZCTA5 27863,11877,1004
8600000US27864,27864,ZCTA5 27864,4692,455
8600000US27865,27865,ZCTA5 27865,2166,496
8600000US27866,27866,ZCTA5 27866,620,287
8600000US27869,27869,ZCTA5 27869,2267,421
8600000US27870,27870,ZCTA5 27870,26918,587
8600000US27871,27871,ZCTA5 27871,3878,436
8600000US27872,27872,ZCTA5 27872,349,103
8600000US27873,27873,ZCTA5 27873,493,135
8600000US27874,27874,ZCTA5 27874,4417,566
8600000US27875,27875,ZCTA5 27875,272,144
8600000US27876,27876,ZCTA5 27876,1562,279
8600000US27878,27878,ZCTA5 27878,2037,441
8600000US27879,27879,ZCTA5 27879,256,95
8600000US27880,27880,ZCTA5 27880,3518,499
8600000US27881,27881,ZCTA5 27881,159,135
8600000US27882,27882,ZCTA5 27882,7227,776
8600000US27883,27883,ZCTA5 27883,3507,559
8600000US27884,27884,ZCTA5 27884,916,350
8600000US27885,27885,ZCTA5 27885,1251,394
8600000US27886,27886,ZCTA5 27886,21370,565
8600000US27888,27888,ZCTA5 27888,2574,367
8600000US27889,27889,ZCTA5 27889,26959,1007
8600000US27890,27890,ZCTA5 27890,2505,270
8600000US27891,27891,ZCTA5 27891,5233,617
8600000US27892,27892,ZCTA5 27892,14281,617
8600000US27893,27893,ZCTA5 27893,39858,940
8600000US27896,27896,ZCTA5 27896,20895,878
8600000US27897,27897,ZCTA5 27897,1797,370
8600000US27909,27909,ZCTA5 27909,40050,29
8600000US27910,27910,ZCTA5 27910,11586,548
8600000US27915,27915,ZCTA5 27915,926,330
8600000US27916,27916,ZCTA5 27916,531,183
8600000US27917,27917,ZCTA5 27917,902,278
8600000US27919,27919,ZCTA5 27919,929,326
8600000US27920,27920,ZCTA5 27920,1258,366
8600000US27921,27921,ZCTA5 27921,4757,467
8600000US27922,27922,ZCTA5 27922,992,215
8600000US27923,27923,ZCTA5 27923,456,172
8600000US27924,27924,ZCTA5 27924,2397,433
8600000US27925,27925,ZCTA5 27925,4036,83
8600000US27926,27926,ZCTA5 27926,1457,259
8600000US27927,27927,ZCTA5 27927,813,184
8600000US27928,27928,ZCTA5 27928,2136,423
8600000US27929,27929,ZCTA5 27929,1026,200
8600000US27932,27932,ZCTA5 27932,12473,469
8600000US27935,27935,ZCTA5 27935,1600,259
8600000US27936,27936,ZCTA5 27936,1163,435
8600000US27937,27937,ZCTA5 27937,4256,378
8600000US27938,27938,ZCTA5 27938,1407,265
8600000US27939,27939,ZCTA5 27939,2592,552
8600000US27941,27941,ZCTA5 27941,646,257
8600000US27942,27942,ZCTA5 27942,1015,274
8600000US27943,27943,ZCTA5 27943,466,243
8600000US27944,27944,ZCTA5 27944,12100,385
8600000US27946,27946,ZCTA5 27946,1415,382
8600000US27947,27947,ZCTA5 27947,1595,418
8600000US27948,27948,ZCTA5 27948,11173,581
8600000US27949,27949,ZCTA5 27949,7154,156
8600000US27950,27950,ZCTA5 27950,2071,291
8600000US27953,27953,ZCTA5 27953,1365,344
8600000US27954,27954,ZCTA5 27954,6334,471
8600000US27956,27956,ZCTA5 27956,311,149
8600000US27957,27957,ZCTA5 27957,1825,369
8600000US27958,27958,ZCTA5 27958,10304,527
8600000US27959,27959,ZCTA5 27959,2827,26
8600000US27960,27960,ZCTA5 27960,486,262
8600000US27962,27962,ZCTA5 27962,7343,404
8600000US27964,27964,ZCTA5 27964,742,272
8600000US27965,27965,ZCTA5 27965,701,255
8600000US27966,27966,ZCTA5 27966,967,305
8600000US27967,27967,ZCTA5 27967,309,130
8600000US27968,27968,ZCTA5 27968,270,268
8600000US27970,27970,ZCTA5 27970,3179,406
8600000US27972,27972,ZCTA5 27972,240,195
8600000US27973,27973,ZCTA5 27973,1246,328
8600000US27974,27974,ZCTA5 27974,1370,337
8600000US27976,27976,ZCTA5 27976,3591,392
8600000US27978,27978,ZCTA5 27978,147,74
8600000US27979,27979,ZCTA5 27979,1787,254
8600000US27980,27980,ZCTA5 27980,2115,462
8600000US27981,27981,ZCTA5 27981,1475,279
8600000US27982,27982,ZCTA5 27982,65,92
8600000US27983,27983,ZCTA5 27983,10188,684
8600000US27985,27985,ZCTA5 27985,339,144
8600000US27986,27986,ZCTA5 27986,3098,546
8600000US28001,28001,ZCTA5 28001,26717,714
8600000US28006,28006,ZCTA5 28006,1278,331
8600000US28007,28007,ZCTA5 28007,687,201
8600000US28009,28009,ZCTA5 28009,1092,206
8600000US28012,28012,ZCTA5 28012,20865,724
8600000US28016,28016,ZCTA5 28016,12936,711
8600000US28017,28017,ZCTA5 28017,689,164
8600000US28018,28018,ZCTA5 28018,5408,750
8600000US28019,28019,ZCTA5 28019,0,12
8600000US28020,28020,ZCTA5 28020,1856,323
8600000US28021,28021,ZCTA5 28021,13574,733
8600000US28023,28023,ZCTA5 28023,14689,1048
8600000US28025,28025,ZCTA5 28025,51996,1471
8600000US28027,28027,ZCTA5 28027,58474,1631
8600000US28031,28031,ZCTA5 28031,25834,365
8600000US28032,28032,ZCTA5 28032,3298,343
8600000US28033,28033,ZCTA5 28033,3358,604
8600000US28034,28034,ZCTA5 28034,17441,792
8600000US28036,28036,ZCTA5 28036,16009,597
8600000US28037,28037,ZCTA5 28037,18822,831
8600000US28039,28039,ZCTA5 28039,103,88
8600000US28040,28040,ZCTA5 28040,8023,899
8600000US28043,28043,ZCTA5 28043,21472,1221
8600000US28052,28052,ZCTA5 28052,34764,1154
8600000US28054,28054,ZCTA5 28054,36934,1031
8600000US28056,28056,ZCTA5 28056,32973,1154
8600000US28071,28071,ZCTA5 28071,2995,567
8600000US28072,28072,ZCTA5 28072,1157,225
8600000US28073,28073,ZCTA5 28073,5602,709
8600000US28075,28075,ZCTA5 28075,16936,880
8600000US28076,28076,ZCTA5 28076,812,471
8600000US28077,28077,ZCTA5 28077,427,132
8600000US28078,28078,ZCTA5 28078,56105,904
8600000US28079,28079,ZCTA5 28079,33008,981
8600000US28080,28080,ZCTA5 28080,8078,785
8600000US28081,28081,ZCTA5 28081,26798,1193
8600000US28083,28083,ZCTA5 28083,24270,1000
8600000US28086,28086,ZCTA5 28086,25261,1063
8600000US28088,28088,ZCTA5 28088,2975,365
8600000US28089,28089,ZCTA5 28089,237,79
8600000US28090,28090,ZCTA5 28090,7803,610
8600000US28091,28091,ZCTA5 28091,1935,284
8600000US28092,28092,ZCTA5 28092,38552,1213
8600000US28097,28097,ZCTA5 28097,5458,393
8600000US28098,28098,ZCTA5 28098,3668,98
8600000US28101,28101,ZCTA5 28101,751,153
8600000US28102,28102,ZCTA5 28102,87,54
8600000US28103,28103,ZCTA5 28103,10727,812
8600000US28104,28104,ZCTA5 28104,30750,913
8600000US28105,28105,ZCTA5 28105,42704,970
8600000US28107,28107,ZCTA5 28107,7047,691
8600000US28108,28108,ZCTA5 28108,101,58
8600000US28109,28109,ZCTA5 28109,361,107
